clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls
3,1,1,1.0, そうなんですか．私も独自に調べてみますね．,default, そうなんですか。私も独自に調べてみますね。,re_x_d
3,1,1,1.0, 大変ですよね。,default, 大変ですよね。,re_x_d
3,1,1,1.0, そうなんですか．,default, そうなんですか。,re_x_d
3,3,3,1.0, いいですね，とても興味深いです！,default, いいですね、とても興味深いです！,re_x_d
3,3,3,1.0, よくご存じですね。,default, よくご存じですね。,re_x_d
3,4,4,1.0, 面白いですよね。,default, 面白いですよね。,re_x_d
3,3,3,1.0, それは大変ですよね。,default, それは大変ですよね。,re_x_d
3,2,2,1.0, すごい！,default, すごい！,re_x_d
4,6,6,1.0, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。,thank
4,58,58,1.0, ありがとうございました・・,default, ありがとうございました。,thank
4,18,18,1.0, ありがとうございます。,default, ありがとうございます。,thank
4,1,1,1.0, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！,thank
4,20,20,1.0, 貴重な体験談をありがとうございました。,旅行, 貴重な体験談をありがとうございました。,thank
5,8,8,1.0, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re_o_m
5,12,12,1.0, それは面白そうですね。,default, それは面白そうですね。,re_o_m
5,14,14,1.0, なるほど、それは面白そうですね。,default, なるほど、それは面白そうですね。,re_o_m
5,7,7,1.0, なるほど、それはリラックスできますね。,旅行, なるほど、それはリラックスできますね。,re_o_m
5,10,10,1.0, なるほど、それは素晴らしい経験ですね。,旅行, なるほど、それは素晴らしい経験ですね。,re_o_m
5,11,11,1.0, なるほど、それは美味しそうですね・・,食事, なるほど、それは美味しそうですね。,re_o_m
6,20,20,1.0, 具体的に教えてもらっていいですか？,default, 具体的に教えてもらっていいですか？,qs_o_d
6,13,13,1.0, 具体的には教えてもらえますか？,default, 具体的には教えてもらえますか？,qs_o_d
6,9,9,1.0, 具体的には何ですか？,default, 具体的には何ですか？,qs_o_d
6,5,5,1.0, それのどういったところが好きなんですか？,default, それのどういったところが好きなんですか？,qs_o_d
6,19,19,1.0, 具体的にはどういったものですか？,default, 具体的にはどういったものですか？,qs_o_d
6,2,2,1.0, ほかには、ありますか？,default, ほかには、ありますか？,qs_o_d
6,3,3,1.0, 具体的に教えてください？,default, 具体的に教えてください？,qs_o_d
6,2,2,1.0, そのほかで、おすすめのものはありますか？あったら教えてください．,default, そのほかで、おすすめのものはありますか？あったら教えてください？,qs_o_d
6,6,6,1.0, そのほかにおすすめのものはありますか？,default, そのほかにおすすめのものはありますか？,qs_o_d
7,19,19,1.0, 1964年以来56年ぶりの日本でのオリンピック開催で，たくさんの競技が行われるのでいってみたいものですね！,スポーツ, 1964年以来56年ぶりの日本でのオリンピック開催で、たくさんの競技が行われるので行ってみたいものですね！,io
7,4,4,1.0, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,スポーツ, これからの季節は暖かくなるので、散歩などは気持ちがいいですよね。,io
7,5,5,1.0, すごい！面白い体験をされましたね!,旅行, すごい！面白い体験をされましたね!,io
7,4,4,1.0, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。,io
7,4,4,1.0, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽, なまで演奏をきくと、迫力があって、感動するみたいですね！,io
7,2,2,1.0, すごいですね。一度聞かせていただけるとうれしいです。,音楽, すごいですね。一度聞かせていただけるとうれしいです。,io
7,3,3,1.0, わたしも実際に、演奏をきいてみたいものです。,音楽, わたしも実際に、演奏をきいてみたいものです。,io
7,8,8,1.0, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。,io
